record_1,record_2,name_1,name_2,similarity_score,possible_duplicate
CUST002806,CUST005031,Valentim Dias,Valentim Dias,100.0,True
CUST004493,CUST000830,Vitor Gabriel Gonçalves,Vitor Gabriel Gonçalves,100.0,True
CUST001594,CUST001581,Vitor Abreu,Vitor Abreu,100.0,True
CUST004302,CUST002402,Vitor Hugo Montenegro,Vitor Hugo Montenegro,100.0,True
CUST002459,CUST002654,Vitor Hugo Oliveira,Vitor Hugo Oliveira,100.0,True
CUST003049,CUST004716,Thiago Gomes,Thiago Gomes,100.0,True
CUST003840,CUST002641,Vicente Vargas,Vicente Vargas,100.0,True
CUST002989,CUST004118,Valentim Vasconcelos,Valentim Vasconcelos,100.0,True
CUST003672,CUST000063,Vitória Pereira,Vitória Pereira,100.0,True
CUST000271,CUST005051,Valentina Peixoto,Valentina Peixoto,100.0,True
CUST004799,CUST002295,Thales Sá,Thales Sá,100.0,True
CUST004164,CUST005003,Theodoro Rodrigues,Theodoro Rodrigues,100.0,True
CUST004164,CUST002471,Theodoro Rodrigues,Theodoro Rodrigues,100.0,True
CUST004910,CUST004261,Theodoro Das Neves,Theodoro Das Neves,100.0,True
CUST000051,CUST004673,Thiago Caldeira,Thiago Caldeira,100.0,True
CUST005003,CUST002471,Theodoro Rodrigues,Theodoro Rodrigues,100.0,True
CUST002164,CUST000074,Theo Da Costa,Théo Da Costa,100.0,True
CUST001147,CUST004056,Ana Vitória Monteiro,Ana Vitória Monteiro,100.0,True
CUST000840,CUST002601,Ana Lívia Brito,Ana Lívia Brito,100.0,True
CUST004767,CUST004927,Antony Santos,Antony Santos,100.0,True
CUST002916,CUST000605,Allana Fogaça,Allana Fogaça,100.0,True
CUST004961,CUST001784,Ana Beatriz Montenegro,Ana Beatriz Montenegro,100.0,True
CUST000280,CUST004145,Ana Júlia Da Cunha,Ana Julia Da Cunha,100.0,True
CUST002828,CUST000683,Arthur Barros,Arthur Barros,100.0,True
CUST002387,CUST003628,Ana Cecília Carvalho,Ana Cecília Carvalho,100.0,True
CUST001982,CUST000615,Asafe Dias,Asafe Dias,100.0,True
CUST001123,CUST000406,Anthony Gabriel Da Luz,Anthony Gabriel Da Luz,100.0,True
CUST001123,CUST004856,Anthony Gabriel Da Luz,Anthony Gabriel Da Luz,100.0,True
CUST004882,CUST003099,Ana Luiza Cardoso,Ana Luiza Cardoso,100.0,True
CUST002886,CUST003733,Alícia Camargo,Alícia Camargo,100.0,True
CUST001431,CUST002533,Srta. Maria Vitória Macedo,Sra. Maria Vitória Macedo,98.04,True
CUST003281,CUST000141,Srta. Isabella Castro,Srta. Isabela Castro,97.56,True
CUST003485,CUST005002,Sra. Ana Liz Farias,Sra. Anna Liz Farias,97.44,True
CUST000835,CUST000352,Mateus Da Conceição,Matheus Da Conceição,97.44,True
CUST000835,CUST002026,Mateus Da Conceição,Matheus Da Conceição,97.44,True
CUST003485,CUST000363,Sra. Ana Liz Farias,Sra. Anna Liz Farias,97.44,True
CUST002600,CUST002036,Isabella Montenegro,Isabela Montenegro,97.3,True
CUST002570,CUST002801,Maria Casa Grande,Marina Casa Grande,97.14,True
CUST002424,CUST001974,Rafael Cavalcanti,Rafaela Cavalcanti,97.14,True
CUST000256,CUST003343,Isabella Silveira,Isabela Silveira,96.97,True
CUST002727,CUST001090,Sra. Isabela Lima,Sra. Isabel Lima,96.97,True
CUST005053,CUST004020,Isabella Oliveira,Isabela Oliveira,96.97,True
CUST001272,CUST000889,Mariah Cavalcante,Maria Cavalcante,96.97,True
CUST004725,CUST001304,Anna Liz Cassiano,Ana Liz Cassiano,96.97,True
CUST000988,CUST001272,Maria Cavalcante,Mariah Cavalcante,96.97,True
CUST004049,CUST004020,Isabella Oliveira,Isabela Oliveira,96.97,True
CUST001580,CUST003251,Aylla Cavalcante,Ayla Cavalcante,96.77,True
CUST000821,CUST003755,Brayan Aparecida,Bryan Aparecida,96.77,True
CUST003041,CUST000375,Ana Liz Pimenta,Anna Liz Pimenta,96.77,True
CUST002629,CUST001212,Mariana Silveira,Marina Silveira,96.77,True
CUST003349,CUST003597,Manuela Da Cruz,Manuella Da Cruz,96.77,True
CUST002971,CUST000581,Ana Liz Freitas,Anna Liz Freitas,96.77,True
CUST002971,CUST005036,Ana Liz Freitas,Anna Liz Freitas,96.77,True
CUST001635,CUST001064,Anna Liz Da Mota,Ana Liz Da Mota,96.77,True
CUST004587,CUST001800,Isabella Novais,Isabela Novais,96.55,True
CUST000053,CUST002167,Daniela Freitas,Daniel Freitas,96.55,True
CUST001854,CUST002938,Manuella Da Paz,Manuela Da Paz,96.55,True
CUST003421,CUST003164,Isabela Mendes,Isabella Mendes,96.55,True
CUST001102,CUST003653,Anthony Pimenta,Antony Pimenta,96.55,True
CUST002037,CUST004778,Ana Liz Pires,Anna Liz Pires,96.3,True
CUST002037,CUST003837,Ana Liz Pires,Anna Liz Pires,96.3,True
CUST000913,CUST000043,Mateus Garcia,Matheus Garcia,96.3,True
CUST003996,CUST000826,Maria Freitas,Mariah Freitas,96.3,True
CUST003937,CUST002405,Daniela Vieira,Daniel Vieira,96.3,True
CUST000150,CUST004343,Lara Azevedo,Luara Azevedo,96.0,True
CUST003287,CUST004189,José Costela,Josué Costela,96.0,True
CUST003626,CUST000605,Alana Fogaça,Allana Fogaça,96.0,True
CUST003359,CUST002985,Anna Liz Lima,Ana Liz Lima,96.0,True
CUST003654,CUST000699,Caleb Aragão,Calebe Aragão,96.0,True
CUST001965,CUST004790,Hellena Cunha,Helena Cunha,96.0,True
CUST004412,CUST001122,Alana Pastor,Allana Pastor,96.0,True
CUST001224,CUST001712,Allana Garcia,Alana Garcia,96.0,True
CUST004139,CUST000150,Laura Azevedo,Lara Azevedo,96.0,True
CUST004362,CUST003149,Luan Pereira,Luana Pereira,96.0,True
CUST002916,CUST003626,Allana Fogaça,Alana Fogaça,96.0,True
CUST002817,CUST004242,Ayla Costela,Aylla Costela,96.0,True
CUST003750,CUST002039,Laura Câmara,Lara Câmara,95.65,True
CUST003217,CUST000703,Sarah Moraes,Sara Moraes,95.65,True
CUST002321,CUST004564,Ayla Araújo,Aylla Araújo,95.65,True
CUST005063,CUST002321,Aylla Araújo,Ayla Araújo,95.65,True
CUST003625,CUST003629,Maria Souza,Mariah Souza,95.65,True
CUST000221,CUST004528,José Barros,Josué Barros,95.65,True
CUST004752,CUST003467,Ester Souza,Esther Souza,95.65,True
CUST000222,CUST004824,Allana Souza,Alana Souza,95.65,True
CUST004752,CUST003595,Ester Souza,Esther Souza,95.65,True
CUST004638,CUST004752,Esther Souza,Ester Souza,95.65,True
CUST001012,CUST004806,Ester Porto,Esther Porto,95.65,True
CUST003166,CUST001710,Ester Abreu,Esther Abreu,95.65,True
CUST001545,CUST000785,Anthony Gabriel Souza,Anthony Gabriel Sousa,95.24,True
CUST000798,CUST001039,Maria Luiza Rodrigues,Maria Luísa Rodrigues,95.24,True
CUST001989,CUST002421,Bryan Melo,Brayan Melo,95.24,True
CUST001545,CUST002288,Anthony Gabriel Souza,Anthony Gabriel Sousa,95.24,True
CUST000036,CUST001830,Josué Souza,José Souza,95.24,True
CUST004106,CUST004662,Maria Melo,Mariah Melo,95.24,True
CUST000490,CUST004130,Maria Vitória Da Mata,Maria Vitória Da Mota,95.24,True
CUST000651,CUST001071,Laura Sales,Lara Sales,95.24,True
CUST003832,CUST003846,Sarah Brito,Sara Brito,95.24,True
CUST001071,CUST001542,Lara Sales,Laura Sales,95.24,True
CUST003267,CUST000337,Sarah Silva,Sara Silva,95.24,True
CUST004759,CUST001660,João Guilherme Souza,João Guilherme Sousa,95.0,True
CUST003194,CUST002071,Ana Luiza Cavalcante,Ana Luiza Cavalcanti,95.0,True
CUST003194,CUST000303,Ana Luiza Cavalcante,Ana Liz Cavalcante,94.74,True
CUST002818,CUST003114,Fernando Cavalcante,Fernanda Cavalcante,94.74,True
CUST004224,CUST003562,Maria Luiza Azevedo,Maria Luísa Azevedo,94.74,True
CUST004198,CUST004815,Isabella Cavalcante,Isabella Cavalcanti,94.74,True
CUST002007,CUST004467,Daniela Sá,Daniel Sá,94.74,True
CUST004309,CUST004119,Dr. Rafael Camargo,Dra. Rafaela Camargo,94.74,True
CUST001798,CUST003532,Davi Lucca Oliveira,Davi Lucas Oliveira,94.74,True
CUST001798,CUST001679,Davi Lucca Oliveira,Davi Lucas Oliveira,94.74,True
CUST001360,CUST001016,Sr. Gustavo Da Mata,Sr. Gustavo Da Mota,94.74,True
CUST004873,CUST000761,João Gabriel Novaes,João Gabriel Novais,94.74,True
CUST000374,CUST003114,Fernando Cavalcante,Fernanda Cavalcante,94.74,True
CUST002895,CUST002632,Maria Liz Mendonça,Maria Luiza Mendonça,94.74,True
CUST002731,CUST003032,Ana Laura Mendonça,Ana Clara Mendonça,94.44,True
CUST000649,CUST001048,Julia Vasconcelos,Juliana Vasconcelos,94.44,True
CUST003983,CUST004272,Davi Lucas Da Mata,Davi Lucca Da Mata,94.44,True
CUST004764,CUST004272,Davi Lucca Da Mota,Davi Lucca Da Mata,94.44,True
CUST000631,CUST000988,Mariane Cavalcante,Maria Cavalcante,94.12,True
CUST004009,CUST002417,Luna Da Conceição,Luan Da Conceição,94.12,True
CUST000631,CUST000889,Mariane Cavalcante,Maria Cavalcante,94.12,True
CUST004306,CUST002709,Isabel Das Neves,Isabelly Das Neves,94.12,True
CUST000403,CUST002267,Breno Casa Grande,Bruno Casa Grande,94.12,True
CUST002267,CUST003168,Bruno Casa Grande,Bruna Casa Grande,94.12,True
CUST002424,CUST002499,Rafael Cavalcanti,Rafael Cavalcante,94.12,True
CUST004666,CUST004968,Ester Sá,Esther Sá,94.12,True
CUST004009,CUST002418,Luna Da Conceição,Luan Da Conceição,94.12,True
CUST004240,CUST000539,Srta. Maya Moura,Sra. Maysa Moura,93.75,True
CUST004327,CUST000505,Mariana Oliveira,Mariane Oliveira,93.75,True
CUST002011,CUST001296,Daniel Das Neves,Danilo Das Neves,93.75,True
CUST002583,CUST003853,Emanuella Santos,Emanuelly Santos,93.75,True
CUST003644,CUST002931,Eduardo Siqueira,Eduarda Siqueira,93.75,True
CUST003697,CUST000444,Rafael Montenegro,Rael Montenegro,93.75,True
CUST004745,CUST000846,Isabelly Siqueira,Isabel Siqueira,93.75,True
CUST002198,CUST002583,Emanuelly Santos,Emanuella Santos,93.75,True
CUST001620,CUST000110,Davi Lucas Rios,Davi Lucca Rios,93.33,True
CUST000117,CUST002333,Emanuel Macedo,Emanuelly Macedo,93.33,True
CUST000117,CUST003214,Emanuel Macedo,Emanuelly Macedo,93.33,True
CUST004746,CUST004499,Raul Aparecida,Raquel Aparecida,93.33,True
CUST000931,CUST003794,Isabel Barbosa,Isabelly Barbosa,93.33,True
CUST002769,CUST004344,Fernanda Da Luz,Fernando Da Luz,93.33,True
CUST000219,CUST000478,Lunna Fernandes,Luana Fernandes,93.33,True
CUST002411,CUST003061,Rafael Aparecida,Rael Aparecida,93.33,True
CUST002384,CUST002185,Bárbara Da Mota,Bárbara Da Mata,93.33,True
CUST000447,CUST003052,Ana Liz Mendes,Ana Luiza Mendes,93.33,True
CUST002078,CUST003061,Rafael Aparecida,Rael Aparecida,93.33,True
CUST004499,CUST003061,Raquel Aparecida,Rael Aparecida,93.33,True
CUST003243,CUST003282,Vitor Gabriel Da Rosa,Vitor Gabriel Da Rocha,93.02,True
CUST004746,CUST003061,Raul Aparecida,Rael Aparecida,92.86,True
CUST004771,CUST003019,Lucas Nogueira,Lucca Nogueira,92.86,True
CUST002247,CUST001697,Emanuella Melo,Emanuelly Melo,92.86,True
CUST003821,CUST002248,Gabriel Novaes,Gabriel Novais,92.86,True
CUST001366,CUST004115,Raul Da Cunha,Raquel Da Cunha,92.86,True
CUST002247,CUST001767,Emanuella Melo,Emanuelly Melo,92.86,True
CUST001654,CUST001334,Julia Freitas,Juliana Freitas,92.86,True
CUST000758,CUST001022,Bruno Ferreira,Bruna Ferreira,92.86,True
CUST004771,CUST002193,Lucas Nogueira,Lucca Nogueira,92.86,True
CUST001997,CUST002330,Brayan Da Mata,Brayan Da Mota,92.86,True
CUST001396,CUST002509,Vitória Da Rosa,Vitor Da Rosa,92.86,True
CUST003102,CUST002957,Vitor Pimenta,Vitória Pimenta,92.86,True
CUST003996,CUST003789,Maria Freitas,Mariana Freitas,92.86,True
CUST001407,CUST004480,Mariane Guerra,Mariana Guerra,92.86,True
CUST002009,CUST005060,Isabelly Pinto,Isabella Pinto,92.86,True
CUST003029,CUST002135,Isabelly Santos,Isabel Santos,92.86,True
CUST002009,CUST002218,Isabelly Pinto,Isabella Pinto,92.86,True
CUST003802,CUST003839,Sr. Erick Montenegro,Sr. Enrico Montenegro,92.68,True
CUST000506,CUST001531,Maria Vitória Da Rocha,Maria Vitória Rocha,92.68,True
CUST000415,CUST003835,Ana Carolina Da Rosa,Ana Carolina Da Rocha,92.68,True
CUST001446,CUST004536,Gustavo Henrique Sales,Gustavo Henrique Sá,92.68,True
CUST000124,CUST004536,Gustavo Henrique Silva,Gustavo Henrique Sá,92.68,True
CUST002242,CUST004298,Luiz Henrique Camargo,Luiz Henrique Câmara,92.68,True
CUST002013,CUST004536,Gustavo Henrique Sousa,Gustavo Henrique Sá,92.68,True
CUST001531,CUST000883,Maria Vitória Rocha,Maria Vitória Da Rocha,92.68,True
CUST000497,CUST002744,José Miguel Da Rocha,José Miguel Da Rosa,92.31,True
CUST002876,CUST002165,Raquel Da Rosa,Rael Da Rosa,92.31,True
CUST002683,CUST003578,Julia Aragão,Juliana Aragão,92.31,True
CUST003852,CUST004515,Maria Borges,Mariane Borges,92.31,True
CUST003619,CUST004783,Alana Cassiano,Ana Cassiano,92.31,True
CUST004139,CUST004343,Laura Azevedo,Luara Azevedo,92.31,True
CUST002236,CUST000794,Luiza Da Rosa,Luísa Da Rosa,92.31,True
CUST000642,CUST000418,Rael Freitas,Rafael Freitas,92.31,True
CUST001833,CUST004772,Olívia Novaes,Olívia Novais,92.31,True
CUST001562,CUST000441,Dr. Vinicius Câmara,Dr. Vinicius Camargo,92.31,True
CUST000404,CUST001320,Miguel Novais,Miguel Novaes,92.31,True
CUST000923,CUST001694,Allana Costela,Allana Costa,92.31,True
CUST001088,CUST003814,Maria Fernanda Rios,Maria Fernanda Ramos,92.31,True
CUST000965,CUST001300,Maria Helena Farias,Maria Helena Freitas,92.31,True
CUST003874,CUST004616,Ana Luiza Dias,Ana Liz Dias,92.31,True
CUST003745,CUST003737,Cauã Nogueira,Cauê Nogueira,92.31,True
CUST003306,CUST001888,Srta. Stephany Ramos,Srta. Stephany Rios,92.31,True
CUST003192,CUST003616,Rebeca Costela,Rebeca Costa,92.31,True
CUST001806,CUST002165,Raquel Da Rosa,Rael Da Rosa,92.31,True
CUST003192,CUST002334,Rebeca Costela,Rebeca Costa,92.31,True
CUST000865,CUST000418,Rael Freitas,Rafael Freitas,92.31,True
CUST001220,CUST000815,Pietra Araújo,Pietro Araújo,92.31,True
CUST001833,CUST002655,Olívia Novaes,Olívia Novais,92.31,True
CUST000692,CUST001398,Gabrielly Fernandes,Gabriela Fernandes,91.89,True
CUST003040,CUST003999,Maria Luísa Rocha,Maria Luísa Da Rocha,91.89,True
CUST003040,CUST002619,Maria Luísa Rocha,Maria Luísa Da Rocha,91.89,True
CUST003822,CUST001932,Ana Beatriz Da Costa,Ana Beatriz Costa,91.89,True
CUST002917,CUST002449,Maria Alice Rocha,Maria Alice Da Rocha,91.89,True
CUST003605,CUST001061,João Vitor Da Rosa,João Vitor Da Rocha,91.89,True
CUST004703,CUST000908,Maria Laura Barbosa,Maria Laura Barros,91.89,True
CUST002080,CUST004351,Asafe Novais,Asafe Novaes,91.67,True
CUST004959,CUST000514,Bento Moraes,Breno Moraes,91.67,True
CUST001053,CUST002922,Rael Da Luz,Raquel Da Luz,91.67,True
CUST004643,CUST001772,Júlia Costa,Julia Costela,91.67,True
CUST000331,CUST000067,Raquel Campos,Rael Campos,91.67,True
CUST004206,CUST000331,Raul Campos,Raquel Campos,91.67,True
CUST003237,CUST002710,Rael Novais,Raquel Novais,91.67,True
CUST003262,CUST004098,Pietra Souza,Pietra Sousa,91.67,True
CUST002921,CUST004075,Dante Novais,Dante Novaes,91.67,True
CUST000285,CUST004075,Dante Novais,Dante Novaes,91.67,True
CUST002154,CUST001544,Luara Novais,Luara Novaes,91.67,True
CUST003324,CUST000210,Raul Câmara,Raquel Câmara,91.67,True
CUST002190,CUST000956,Luiza Da Mata,Liz Da Mata,91.67,True
CUST003215,CUST002899,Julia Ramos,Juliana Ramos,91.67,True
CUST002190,CUST002568,Luiza Da Mata,Liz Da Mata,91.67,True
CUST002154,CUST002898,Luara Novais,Luara Novaes,91.67,True
CUST000333,CUST001544,Luana Novaes,Luara Novaes,91.67,True
CUST002156,CUST001335,Lucas Vieira,Lucca Vieira,91.67,True
CUST004473,CUST000670,Davi Lucas Vasconcelos,Dr. Davi Lucas Vasconcelos,91.67,True
CUST000333,CUST002898,Luana Novaes,Luara Novaes,91.67,True
CUST000768,CUST002399,André Novaes,André Novais,91.67,True
CUST002055,CUST003344,Melina Souza,Melina Sousa,91.67,True
CUST002055,CUST003020,Melina Souza,Melina Sousa,91.67,True
CUST004123,CUST002937,Ana Da Cruz,Alana Da Cruz,91.67,True
CUST003892,CUST000803,Marcela Leão,Marcelo Leão,91.67,True
CUST000193,CUST002922,Rael Da Luz,Raquel Da Luz,91.67,True
CUST001417,CUST004366,Ana Clara Da Rosa,Ana Clara Da Rocha,91.43,True
CUST002499,CUST001974,Rafael Cavalcante,Rafaela Cavalcanti,91.43,True
CUST004315,CUST002646,Maria Isis Macedo,Maria Isis Machado,91.43,True
CUST004724,CUST003109,Mariana Nascimento,Mariah Nascimento,91.43,True
CUST002647,CUST001069,Maria Flor Macedo,Maria Flor Machado,91.43,True
CUST000304,CUST004800,João Pedro Macedo,João Pedro Machado,91.43,True
CUST002305,CUST000304,João Pedro Machado,João Pedro Macedo,91.43,True
CUST000631,CUST001272,Mariane Cavalcante,Mariah Cavalcante,91.43,True
CUST000992,CUST003464,José Pedro Câmara,José Pedro Camargo,91.43,True
CUST004724,CUST000208,Mariana Nascimento,Mariah Nascimento,91.43,True
CUST001112,CUST000879,Srta. Liz Costela,Sra. Luiza Costela,91.43,True
CUST002969,CUST004265,José Pedro Da Costa,José Pedro Costa,91.43,True
CUST002969,CUST005062,José Pedro Da Costa,José Pedro Costa,91.43,True
CUST004856,CUST002530,Anthony Gabriel Da Luz,Anthony Gabriel Da Paz,90.91,True
CUST004627,CUST002335,Maria Luísa Cavalcanti,Maria Júlia Cavalcanti,90.91,True
CUST001751,CUST003828,Maria Luísa Montenegro,Maria Laura Montenegro,90.91,True
CUST004029,CUST003867,Maria Liz Barros,Maria Liz Barbosa,90.91,True
CUST004158,CUST003716,Yuri Costa,Yuri Costela,90.91,True
CUST004491,CUST002127,Valentim Costela,Valentina Costela,90.91,True
CUST002153,CUST002953,Stephany Da Rosa,Stephany Da Rocha,90.91,True
CUST002153,CUST004137,Stephany Da Rosa,Stephany Da Rocha,90.91,True
CUST001587,CUST001209,Sra. Ana Carolina Borges,Sra. Carolina Borges,90.91,True
CUST003405,CUST000439,Alana Cavalcante,Allana Cavalcanti,90.91,True
CUST001123,CUST002530,Anthony Gabriel Da Luz,Anthony Gabriel Da Paz,90.91,True
CUST003746,CUST002859,Cauã Moraes,Cauê Moraes,90.91,True
CUST004117,CUST002800,Liz Santos,Luiza Santos,90.91,True
CUST004259,CUST004965,Breno Nascimento,Brenda Nascimento,90.91,True
CUST001454,CUST001393,Ravi Aragão,Ravy Aragão,90.91,True
CUST004206,CUST000067,Raul Campos,Rael Campos,90.91,True
CUST003044,CUST004525,Liam Casa Grande,Lívia Casa Grande,90.91,True
CUST003148,CUST004834,Clara Casa Grande,Cauã Casa Grande,90.91,True
CUST001968,CUST004074,Raul Fogaça,Rael Fogaça,90.91,True
CUST001446,CUST000172,Gustavo Henrique Sales,Gustavo Henrique Lopes,90.91,True
CUST004222,CUST004019,Luna Pastor,Luan Pastor,90.91,True
CUST004980,CUST004793,Luiz Gustavo Silva,Luiz Gustavo Sá,90.91,True
CUST000163,CUST000362,Lucas Pinto,Lucca Pinto,90.91,True
CUST004834,CUST004581,Cauã Casa Grande,Clara Casa Grande,90.91,True
CUST000406,CUST002530,Anthony Gabriel Da Luz,Anthony Gabriel Da Paz,90.91,True
CUST001254,CUST004668,Pedro Henrique Vieira,Pedro Henrique Siqueira,90.91,True
CUST004841,CUST003047,Isabelly Sá,Isabella Sá,90.91,True
CUST003528,CUST001582,Sr. Gustavo Henrique Ribeiro,Sr. Gustavo Henrique Rios,90.57,True
CUST000723,CUST001751,Maria Liz Montenegro,Maria Luísa Montenegro,90.48,True
CUST000390,CUST004943,Sra. Laura Vasconcelos,Sr. Luan Vasconcelos,90.48,True
CUST000021,CUST001286,Carlos Eduardo Garcia,Carlos Eduardo Farias,90.48,True
CUST004458,CUST004536,Gustavo Henrique Santos,Gustavo Henrique Sá,90.48,True
CUST001480,CUST002316,Ana Júlia Albuquerque,Ana Lívia Albuquerque,90.48,True
CUST003405,CUST003251,Alana Cavalcante,Ayla Cavalcante,90.32,True
CUST002575,CUST003412,Theodoro Câmara,Theodoro Camargo,90.32,True
CUST001396,CUST000454,Vitória Da Rosa,Vitória Da Rocha,90.32,True
CUST000439,CUST001346,Allana Cavalcanti,Ana Cavalcanti,90.32,True
CUST003202,CUST002936,Gabriela Machado,Gabriela Macedo,90.32,True
CUST002091,CUST001346,Amanda Cavalcanti,Ana Cavalcanti,90.32,True
CUST004842,CUST003679,Manuela Da Rocha,Manuela Da Rosa,90.32,True
CUST004378,CUST001827,Stephany Macedo,Stephany Machado,90.32,True
CUST000484,CUST002651,Leonardo Silveira,Leonardo Silva,90.32,True
CUST001535,CUST000058,Benjamin Costa,Benjamin Da Costa,90.32,True
CUST003339,CUST004231,Anna Liz Araújo,Ana Luiza Araújo,90.32,True
CUST003991,CUST003321,Luana Cavalcante,Luna Cavalcanti,90.32,True
CUST004979,CUST004995,Gabriela Vargas,Gabrielly Vargas,90.32,True
CUST003321,CUST004640,Luna Cavalcanti,Laura Cavalcanti,90.32,True
CUST004302,CUST000307,Vitor Hugo Montenegro,Vitor Hugo Monteiro,90.0,True
CUST001213,CUST000623,Theo Alves,Theo Sales,90.0,True
CUST003194,CUST004100,Ana Luiza Cavalcante,Ana Lívia Cavalcante,90.0,True
CUST000037,CUST000902,Vitor Gabriel Da Luz,Vitor Gabriel Da Paz,90.0,True
CUST002402,CUST000307,Vitor Hugo Montenegro,Vitor Hugo Monteiro,90.0,True
CUST001451,CUST004013,Ana Vitória Silveira,Ana Vitória Oliveira,90.0,True
CUST001451,CUST001637,Ana Vitória Silveira,Ana Vitória Siqueira,90.0,True
CUST003194,CUST001682,Ana Luiza Cavalcante,Ana Laura Cavalcante,90.0,True
CUST003194,CUST001211,Ana Luiza Cavalcante,Ana Julia Cavalcante,90.0,True
CUST001600,CUST003954,Maria Helena Gonçalves,Maria Helena Alves,90.0,True
CUST002951,CUST002068,Maria Júlia Teixeira,Maria Luísa Teixeira,90.0,True
CUST004601,CUST003107,Maria Cecília Moura,Maria Cecília Moreira,90.0,True
CUST001211,CUST004100,Ana Julia Cavalcante,Ana Lívia Cavalcante,90.0,True
CUST004420,CUST000950,Luna Gomes,Luan Gomes,90.0,True
CUST004398,CUST000743,Ravy Souza,Ravy Sousa,90.0,True
CUST002927,CUST003567,Cauê Viana,Cauã Viana,90.0,True
CUST001035,CUST001023,Rael Pinto,Raul Pinto,90.0,True
CUST004398,CUST002749,Ravy Souza,Ravy Sousa,90.0,True
CUST004391,CUST000253,João Pedro Fernandes,José Pedro Fernandes,90.0,True
CUST001746,CUST002191,João Miguel Silveira,João Miguel Oliveira,90.0,True
CUST001746,CUST002781,João Miguel Silveira,João Miguel Siqueira,90.0,True
CUST001023,CUST004065,Raul Pinto,Rael Pinto,90.0,True
CUST003849,CUST001004,Rafael Dias,Rael Dias,90.0,True
CUST004824,CUST002584,Alana Souza,Ana Souza,90.0,True
CUST004485,CUST004492,Zoe Costela,Zoe Costa,90.0,True
